OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
153,153,0.002625,0.983496,11,28.376,153,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",99035.32531,0.967931514,0.00262054
154,154,0.002387,0.584668,11,25.798,154,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",59254.03801,0.572021879,0.002375204
155,155,0.009393,1.672721,11,101.579,155,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",170444.9088,1.63982818,0.009382744
156,156,0.001652,0.432703,11,17.855,156,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",44503.32498,0.424246118,0.001652847
157,157,0.003113,1.133339,Gravel bed,33.698,157,2333,3341,27.1,275,0,RK,RK,RK,RK,RK,116748.4263,1.121230386,0.003126027
158,158,0.00161,0.476049,7,17.403,158,262,1956,31.8,296,7,SH,SC2,CMo,SC2,"Sandstone, greywacke, arkose",49001.76807,0.46424847,0.001614722
159,159,0.009372,1.135717,16,101.337,159,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",114217.6276,1.125718074,0.00935827
160,160,0.003579,0.745669,2,38.699,160,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,77023.76749,0.729031192,0.003584306
161,161,0.002843,0.355697,16,30.733,161,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",36325.0854,0.350846611,0.002823068
162,162,0.022246,1.263467,3,240.734,162,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,129753.1398,1.241172834,0.022249055
163,163,0.005119,0.501272,11,55.358,163,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",51241.56784,0.490046302,0.00512346
164,164,0.001152,0.301006,16,12.456,164,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",31366.08063,0.298311093,0.001147279
165,165,0.002426,0.508485,12,26.235,165,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,52152.11482,0.49934716,0.002422321
166,166,0.001184,0.353253,16,12.802,166,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",36500.31388,0.350251002,0.001174588
167,167,0.001723,0.30841,16,18.632,167,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",31564.5366,0.30495469,0.001723981
168,168,0.002152,0.519577,2,23.275,168,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,53091.31319,0.508427161,0.002156807
169,169,0.001529,0.446407,12,16.529,169,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,45488.00639,0.437175782,0.001530773
170,170,0.001714,0.67703,11,18.545,170,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",69385.5256,0.6662347,0.001710247
171,171,0.001783,0.867618,1,19.301,171,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",89174.14666,0.849708293,0.00176542
172,172,0.009663,1.207673,3,104.58,172,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,123718.782,1.17465807,0.00967402
173,173,0.003673,0.658481,11,39.729,173,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",67362.74032,0.649683433,0.003671697
174,174,0.001544,0.345685,16,16.704,174,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",35007.40771,0.341420078,0.001544236
175,175,0.040257,2.694939,8,435.996,175,95,1943,26.6,222,8,TH,SC2,RGd,SC2,"Sandstone, greywacke, arkose",275668.5746,2.660524918,0.040268768
176,176,0.003794,1.17222,1,41.07,176,57,952,1.1,11,1,LV,UF1,FLc,UF1,"Fluvial, calcareous",121159.0173,1.144961589,0.003786304
177,177,0.004914,0.459734,3,53.169,177,70,952,1.7,17,3,LF,UF2,PHc,UF2,Fluvial non calcareous,47939.46354,0.45060685,0.004915507
178,178,0.003497,0.560245,2,37.838,178,58,349,1,8,2,LP,UF2,GLe,UF2,Fluvial non calcareous,57721.71588,0.549508327,0.003490695
179,179,0.003728,0.879548,11,40.332,179,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",89639.42284,0.864619555,0.003731826
180,180,0.001225,0.264747,5,13.25,180,93,1180,3.6,39,5,LP,UC1,PHh,UC1,"Colluvial, calcareous",26799.8715,0.2607391,0.001221937
181,181,0.001628,0.297711,16,17.61,181,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",30647.87482,0.294216022,0.001622773
182,182,0.005159,0.379403,16,55.807,182,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",38635.36499,0.375609436,0.005168184
